Img_path,label
./dataset/Fruits Classification/valid/Apple/Apple (1909).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1011).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (55).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1606).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1836).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (204).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1871).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (429).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1262).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (231).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1600).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1296).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (896).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (147).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1221).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (12).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1493).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1077).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1952).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1810).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (557).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1241).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1800).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (562).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (245).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1380).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (846).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1803).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1179).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (550).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1095).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1571).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1513).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (675).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (1970).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (783).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (31).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (312).jpeg,0
./dataset/Fruits Classification/valid/Apple/Apple (304).jpeg,0
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1774).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1958).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (254).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1481).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1273).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (281).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1713).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (19).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1193).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1638).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (351).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (764).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (443).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1083).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (275).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (532).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1109).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1694).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1886).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1683).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (799).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (831).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1085).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (991).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (83).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1658).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (954).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1288).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1777).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1564).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (809).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1143).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (825).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (455).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (183).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (220).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1798).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1737).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (1152).jpeg,4
./dataset/Fruits Classification/valid/Strawberry/Strawberry (229).jpeg,4
./dataset/Fruits Classification/valid/Grape/Grape (309).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (781).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (982).jpeg,2
./dataset/Fruits Classification/valid/Grape/Grape (396).jpeg,2
